Date,Open,High,Low,Close,Volume
3/17/2017,1172.88,1174.9,1063.48,1071.71,0
3/18/2017,1071.71,1103.61,940.18,971.38,0
3/19/2017,971.38,1063.67,967.31,1022.6,0
3/20/2017,1022.6,1057.5,1005.05,1047.51,0
3/21/2017,1047.51,1125.53,1043.87,1121.29,0
3/22/2017,1121.29,1121.88,997.78,1044.72,0
3/23/2017,1044.72,1062.79,1022.02,1035.03,0
3/24/2017,1035.03,1038.38,927.35,939.7,0
3/25/2017,939.7,995.96,890.43,966.3,0
3/26/2017,966.3,1004.32,946.65,969.44,0
3/27/2017,969.44,1048.85,961.8,1045.14,0
3/28/2017,1045.14,1068.41,1015.45,1044.42,0
3/29/2017,1044.42,1058.66,1008.34,1041.9,0
3/30/2017,1041.9,1052.66,1020.93,1037.91,0
3/31/2017,1037.91,1088.2,1035.18,1079.11,0
4/1/2017,1079.11,1103.74,1067.47,1086.12,0
4/2/2017,1086.12,1109.48,1074.21,1097.4,0
4/3/2017,1097.4,1157.87,1095.55,1147.56,0
4/4/2017,1147.56,1161.19,1122.15,1141.77,0
4/5/2017,1141.77,1143.84,1110.06,1129.87,0
4/6/2017,1129.87,1201.55,1129.87,1188.7,0
4/7/2017,1188.7,1201.23,1173.18,1190.49,0
4/8/2017,1190.49,1198.22,1166.65,1180.78,0
4/9/2017,1180.78,1215.1,1173.99,1204.34,0
4/10/2017,1204.34,1214.87,1194.81,1206.71,0
4/11/2017,1206.71,1229.57,1195.76,1220.74,0
4/12/2017,1220.74,1225.46,1207.36,1212.53,0
4/13/2017,1212.53,1218.66,1150.29,1176.2,0
4/14/2017,1176.2,1195.4,1162.16,1177.33,0
4/15/2017,1177.33,1194.85,841.53,1176.99,0
4/16/2017,1176.99,1187.97,1166.74,1176.8,0
4/17/2017,1176.8,1202.97,1172.81,1194.01,0
4/18/2017,1194.01,1213.88,1191.14,1206.09,0
4/19/2017,1206.09,1218.21,1194.08,1215.2,0
4/20/2017,1215.2,1246.64,1210.67,1238.09,0
4/21/2017,1238.09,1256.97,1235.56,1249.64,0
4/22/2017,1249.64,1256.97,1215.78,1240.89,0
4/23/2017,1240.89,1256.23,1223.06,1249.14,0
4/24/2017,1249.14,1256.36,1234.86,1248.18,0
4/25/2017,1248.18,1272.62,1244.21,1264.31,0
4/26/2017,1264.31,1309.2,1263,1286.63,0
4/27/2017,1286.63,1346.79,1285.3,1332.91,0
4/28/2017,1332.91,1356.15,1287.62,1329.62,0
4/29/2017,1329.62,1343.69,1314.15,1336.28,0
4/30/2017,1336.28,1358.94,1309.66,1351.91,0
5/1/2017,1351.91,1448.68,1342.78,1415.81,0
5/2/2017,1415.81,1471.14,1394.83,1445.93,0
5/3/2017,1445.93,1496.39,1424.05,1485.55,0
5/4/2017,1485.55,1609.84,1437.11,1516.76,0
5/5/2017,1516.76,1588.11,1485.01,1507.77,0
5/6/2017,1507.77,1560.42,1503.93,1545.29,0
5/7/2017,1545.29,1572.89,1495.18,1554.45,0
5/8/2017,1554.45,1667.67,1552.86,1664.47,0
5/9/2017,1664.47,1757.39,1619.97,1697.5,0
5/10/2017,1697.5,1766.18,1664.99,1752.31,0
5/11/2017,1752.31,1864.76,1741.54,1819.29,0
5/12/2017,1819.29,1822.51,1641.18,1686.39,0
5/13/2017,1686.39,1770.5,1594.59,1763.74,0
5/14/2017,1763.74,1802.75,1736.13,1772.55,0
5/15/2017,1772.55,1776.65,1656.81,1708.92,0
5/16/2017,1708.92,1752.55,1653.72,1729.34,0
5/17/2017,1729.34,1842.83,1703.97,1801.3,0
5/18/2017,1801.3,1980.49,1791.12,1880.99,0
5/19/2017,1880.99,1969.7,1875.28,1962,0
5/20/2017,1962,2048.45,1944.4,2040.18,0
5/21/2017,2040.18,2094.94,1980.07,2044.19,0
5/22/2017,2044.19,2264.76,1998.61,2124.41,0
5/23/2017,2124.41,2286.3,2110.78,2272.58,0
5/24/2017,2272.58,2496.98,2263.29,2445.28,0
5/25/2017,2445.28,2781.76,2210.48,2307.22,0
5/26/2017,2306.96,2616.52,2051.45,2244.89,0
5/27/2017,2244.89,2322.37,1868.56,2052.43,0
5/28/2017,2052.43,2300.52,2051.07,2189.02,0
5/29/2017,2189.02,2337.35,2117.34,2278.21,0
5/30/2017,2278.21,2329.26,2147.1,2192.55,0
5/31/2017,2192.55,2330.62,2168.37,2303.34,0
6/1/2017,2303.34,2460.84,2303.34,2412.65,0
6/2/2017,2412.65,2493.97,2385.59,2492.6,0
6/3/2017,2492.6,2582.77,2449.95,2545.43,0
